Date,Row,Batch,Variety,Total kg,Saleable kg,Samples kg,BRIX,TA,BRIX/TA,Total kg (Grade B),Causes (Grade B),Total kg (cull),Causes (cull)
3/27/2023,28,"8,9",JUK,0.58,0.55,,,,,0.03,,,
,,,,,0,,,,,,,,
3/27/2023,35,6,JUK,2.59,2.465,,,,,0.125,,,
3/27/2023,34,"5,6",JUK,1.29,1.29,,,,,,,,
,,,,,0,,,,,,,,
3/27/2023,29,"7,8",JUK,3.465,3.035,,,,,0.43,,,
,,,,,0,,,,,,,,
3/27/2023,33,"4,5",JUK,2.28,2.02,,,,,0.26,,,
,,,,,0,,,,,,,,
3/27/2023,30,2,JUK,0.17,0.13,,,,,0.04,,,
3/27/2023,31,3,JUK,0.135,0.08,,,,,0.055,,,
3/27/2023,32,4,JUK,2.545,1.945,,,,,0.6,,,
3/27/2023,14,8,HH,3.95,3.85,,,,,0.1,,,
3/27/2023,13,8,HH,0.67,0.39,,,,,0.28,,,
3/27/2023,6,9,HH,1.19,1.19,,,,,,,,
3/27/2023,5,9,HH,1.76,1.4,,,,,0.36,,,
3/27/2023,6,9,HH,1.61,1.42,,,,,0.19,,,
3/27/2023,12,8,HH,1.41,0.78,,,,,0.63,,,
3/27/2023,11,7,HH,0.765,0.455,,,,,0.31,,,
3/27/2023,10,7,HH,0.14,0.14,,,,,,,,
3/27/2023,9,7,HH,0.73,0.4,,,,,0.33,,,
3/27/2023,8,9,HH,0.385,0.175,,,,,0.21,,,
3/27/2023,7,9,HH,0.615,0.615,,,,,,,,
3/27/2023,20,"6,1",MER,1.345,0.865,,,,,0.48,,,
,,,,,0,,,,,,,,
3/27/2023,21,7,MER,2.405,1.465,,,,,0.94,,,
3/27/2023,22,8,MER,2.78,2.135,,,,,0.645,,,
3/27/2023,27,4,MER,0.75,0.56,,,,,0.19,,,
3/27/2023,26,4,MER,1.54,0.44,,,,,1.1,,,
3/27/2023,23,2,MER,0.68,0.21,,,,,0.47,,,
3/27/2023,25,4,MER,1.43,0.44,,,,,0.99,,,
3/27/2023,24,3,MER,2.21,1.505,,,,,0.705,,,
3/30/2023,28,"8,9",JUK,0.57,0.57,,,,,,,,
,,,,,0,,,,,,,,
3/30/2023,29,"7,8",JUK,1.665,1.355,,,,,0.31,,,
,,,,,0,,,,,,,,
3/30/2023,35,5,JUK,1.325,1.065,,,,,0.26,,,
3/30/2023,30,2,JUK,0.15,0.15,,,,,,,,
3/30/2023,31,3,JUK,0.13,0.13,,,,,,,,
3/30/2023,32,4,JUK,2.04,1.14,,,,,0.9,,,
3/30/2023,33,"4,5",JUK,1.29,0.86,,,,,0.43,,,
,,,,,0,,,,,,,,
3/30/2023,14,8,HH,0.79,0.68,,,,,0.11,,,
3/30/2023,13,8,HH,0.19,0.14,,,,,0.05,,,
3/30/2023,5,9,HH,1.475,1.015,,,,,0.46,,,
3/30/2023,6,9,HH,0.675,0.475,,,,,0.2,,,
3/30/2023,12,8,HH,0.68,0.32,,,,,0.36,,,
3/30/2023,6,9,HH,0.405,0,,,,,0.405,,,
3/30/2023,11,7,HH,0.785,0.425,,,,,0.36,,,
3/30/2023,8,9,HH,0.445,0.395,,,,,0.05,,,
3/30/2023,10,7,HH,0.295,0.21,,,,,0.085,,,
3/30/2023,9,7,HH,0.235,0.135,,,,,0.1,,,
3/30/2023,27,4,MER,0.63,0.55,,,,,0.08,,,
3/30/2023,20,"6,1",MER,0.7,0.54,,,,,0.16,,,
,,,,,0,,,,,,,,
3/30/2023,26,4,MER,0.845,0.52,,,,,0.325,,,
3/30/2023,21,7,MER,1.5,0.95,,,,,0.55,0,,
3/30/2023,22,8,MER,1.045,0.685,,,,,0.36,,,
3/30/2023,24,3,MER,1.46,0.97,,,,,0.49,,,
3/30/2023,25,4,MER,1.495,0.97,,,,,0.525,,,
3/30/2023,23,3,MER,0.835,0.605,,,,,0.23,,,
4/3/2023,28,"8,9",JUK,1.55,1.31,,,,,0.24,,,
,,,,,0,,,,,,,,
4/3/2023,32,4,JUK,2.21,1.21,,,,,1,,,
4/3/2023,35,6,JUK,0.875,0.785,,,,,0.09,,,
4/3/2023,34,"5, 6",JUK,0.8,0.3,,,,,0.5,,,
,,,,,0,,,,,,,,
4/3/2023,33,"4,5",JUK,0.585,0.415,,,,,0.17,,,
,,,,,0,,,,,,,,
4/3/2023,31,3,JUK,0.305,0.275,,,,,0.03,,,
4/3/2023,29,"7,8",JUK,1.505,1.235,,,,,0.27,,,
,,,,,0,,,,,,,,
4/3/2023,6,9,HH,1.455,0.835,,,,,0.62,,,
4/3/2023,5,9,HH,1.475,0.975,,,,,0.5,,,
4/3/2023,7,9,HH,0.23,0.13,,,,,0.1,,,
4/3/2023,8,9,HH,0.625,0.405,,,,,0.22,,,
4/3/2023,11,7,HH,0.955,0.685,,,,,0.27,,,
4/3/2023,9,7,HH,0.86,0.54,,,,,0.32,,,
4/3/2023,12,8,HH,0.74,0.29,,,,,0.45,,,
4/3/2023,13,8,HH,0.42,0.18,,,,,0.24,,,
4/3/2023,10,7,HH,0.5,0.312,,,,,0.188,,,
4/3/2023,14,8,HH,1.585,1.42,,,,,0.165,,,
4/3/2023,22,8,MER,0.94,0.695,,,,,0.245,,,
4/3/2023,20,"6,1",MER,1.085,0.33,,,,,0.755,,,
,,,,,0,,,,,,,,
4/3/2023,23,3,MER,0.33,0.18,,,,,0.15,,,
4/3/2023,24,3,MER,1.92,1.14,,,,,0.78,,,
4/3/2023,27,4,MER,0.84,0.79,,,,,0.05,,,
4/3/2023,25,4,MER,2.54,1.86,,,,,0.68,,,
4/3/2023,26,4,MER,0.54,0.45,,,,,0.09,,,
4/3/2023,21,7,MER,1.86,0.99,,,,,0.87,,,
4/6/2023,28,"8,9",JUK,1.26,0.995,,,,,0.265,,,
,,,,,0,,,,,,,,
4/6/2023,29,"7,8",JUK,0.715,0.505,,,,,0.21,,,
,,,,,0,,,,,,,,
4/6/2023,32,4,JUK,1.465,1.115,,,,,0.35,,,
4/6/2023,31,3,JUK,0.9,0.75,,,,,0.15,,,
4/6/2023,33,"4,5",JUK,0.485,0.395,,,,,0.09,,,
,,,,,0,,,,,,,,
4/6/2023,35,6,JUK,1.03,0.93,,,,,0.1,,,
4/6/2023,34,"5,6",JUK,1.275,1.065,,,,,0.21,,,
,,,,,0,,,,,,,,
4/6/2023,26,4,MER,0.875,0.795,,,,,0.08,,,
4/6/2023,25,4,MER,0.81,0.32,,,,,0.49,,,
4/6/2023,21,7,MER,0.53,0.27,,,,,0.26,,,
4/6/2023,24,3,MER,1.8,1.23,,,,,0.57,,,
4/6/2023,23,2,MER,0.37,0.315,,,,,0.055,,,
4/6/2023,20,"6, 1",MER,0.82,0.49,,,,,0.33,,,
,,,,,0,,,,,,,,
4/6/2023,22,8,MER,0.795,0.76,,,,,0.035,,,
4/6/2023,14,8,HH,0.43,0.2,,,,,0.23,,,
4/6/2023,13,8,HH,0.1,0.09,,,,,0.01,,,
4/6/2023,12,8,HH,0.655,0.255,,,,,0.4,,,
4/6/2023,11,7,HH,0.795,0.51,,,,,0.285,,,
4/6/2023,10,7,HH,0.49,0.39,,,,,0.1,,,
4/6/2023,9,7,HH,0.545,0.33,,,,,0.215,,,
4/6/2023,8,9,HH,0.335,0.105,,,,,0.23,,,
4/6/2023,7,9,HH,0.215,0.205,,,,,0.01,,,
4/6/2023,6,9,HH,0.76,0.44,,,,,0.32,,,
4/6/2023,5,9,HH,0.215,0.12,,,,,0.095,,,
4/10/2023,12,8,HH,1.165,1.065,,,,,0.1,,,
4/10/2023,9,7,HH,1.42,0.79,,,,,0.63,,,
4/10/2023,10,7,HH,0.73,0.505,,,,,0.225,,,
4/10/2023,11,7,HH,1.3,1.1,,,,,0.2,,,
4/10/2023,20,6,MER,0.858,0.472,,,,,0.386,,,
4/10/2023,20,1,MER,0.242,0.133,,,,,0.109,,,
4/10/2023,21,7,MER,0.995,0.595,,,,,0.4,,,
4/10/2023,22,8,MER,1.051,0.568,,,,,0.483,,,
4/10/2023,28,"8,9",JUK,1.31,1.27,,,,,0.04,,,
4/10/2023,28,"8,9",JUK,1.975,1.5,,,,,0.475,,,
,,,,,0,,,,,,,,
4/10/2023,29,7,JUK,1.225,0.917,,,,,0.308,,,
4/10/2023,29,8,JUK,0.345,0.258,,,,,0.087,,,
4/10/2023,34,5,JUK,0.47,0.446,,,,,0.024,,,
4/10/2023,34,6,JUK,1.096,1.04,,,,,0.056,,,
4/10/2023,33,4,JUK,1.197,0.779,,,,,0.418,,,
4/10/2023,33,5,JUK,0.163,0.106,,,,,0.057,,,
4/10/2023,14,8,HH,1.05,1.05,,,,,,,,
4/11/2023,6,9,HH,0.49,0.035,,,,,0.455,,,
4/11/2023,7,9,HH,0.365,0.29,,,,,0.075,,,
4/11/2023,5,9,HH,1.665,1.155,,,,,0.51,,,
4/11/2023,8,9,HH,0.42,0.245,,,,,0.175,,,
4/11/2023,10,7,HH,0.01,0.01,,,,,,,,
4/11/2023,9,8,HH,0.065,0.045,,,,,0.02,,,
4/11/2023,11,7,HH,0.005,0.005,,,,,,,,
4/11/2023,13,8,HH,0.42,0.24,,,,,0.18,,,
4/11/2023,14,8,HH,0.04,0.04,,,,,,,,
4/11/2023,20,6,MER,0.07,0.058,,,,,0.012,,,
4/11/2023,20,1,MER,0.02,0.017,,,,,0.003,,,
4/11/2023,23,3,MER,0.275,0.19,,,,,0.085,,,
4/11/2023,21,7,MER,0.772,0.115,,,,,0.657,,,
4/11/2023,22,8,MER,0.1,,,,,,.,,,
4/11/2023,24,3,MER,1.04,0.84,,,,,0.2,,,
4/11/2023,26,4,MER,0.4,0.28,,,,,0.12,,,
4/11/2023,25,4,MER,1.05,0.665,,,,,0.385,,,
4/11/2023,29,7,JUK,0.113,0.113,,,,,,,,
4/11/2023,29,8,JUK,0.032,0.032,,,,,,,,
4/11/2023,31,3,JUK,0.31,0.31,,,,,,,,
4/11/2023,28,8,JUK,0.102,0.059,,,,,0.043,,,
4/11/2023,28,9,JUK,0.028,0.016,,,,,0.012,,,
4/11/2023,32,4,JUK,0.73,0.365,,,,,0.365,,,
4/11/2023,35,6,JUK,0.565,0.415,,,,,0.15,,,
4/13/2023,29,7,JUK,0.967,0.632,,,,,0.335,,,
4/13/2023,29,8,JUK,0.273,0.178,,,,,0.095,,,
4/13/2023,30,2,jUK,0.19,0.175,,,,,0.015,,,
4/13/2023,31,3,JUK,0.355,0.32,,,,,0.035,,,
4/13/2023,32,4,JUK,1.605,0.905,,,,,0.7,,,
4/13/2023,34,5,JUK,0.459,0.393,,,,,0.066,,,
4/13/2023,34,6,JUK,1.071,0.917,,,,,0.154,,,
4/13/2023,35,6,JUK,2.77,2.57,,,,,0.2,,,
4/13/2023,33,4,JUK,0.546,0.344,,,,,0.202,,,
4/13/2023,33,5,JUK,0.074,0.046,,,,,0.028,,,
4/13/2023,20,6,MER,0.363,0.215,,,,,0.148,,,
4/13/2023,20,1,MER,0.102,0.06,,,,,0.042,,,
4/13/2023,21,7,MER,0.645,0.31,,,,,0.335,,,
4/13/2023,27,4,MER,1.205,0.825,,,,,0.38,,,
4/13/2023,22,8,MER,0.37,0.18,,,,,0.19,,,
4/13/2023,26,4,MER,0.295,0.18,,,,,0.115,,,
4/13/2023,23,2,MER,0.8,0.46,,,,,0.34,,,
4/13/2023,25,4,MER,0.66,0.32,,,,,0.34,,,
4/13/2023,24,3,MER,0.375,0.26,,,,,0.115,,,
4/13/2023,5,9,HH,0.415,0.275,,,,,0.14,,,
4/13/2023,14,8,HH,0.55,0.46,,,,,0.09,,,
4/13/2023,13,8,HH,0.58,0.335,,,,,0.245,,,
4/13/2023,7,9,HH,0.84,0.585,,,,,0.255,,,
4/13/2023,12,8,HH,0.885,0.59,,,,,0.295,,,
4/13/2023,8,9,HH,0.865,0.645,,,,,0.22,,,
4/13/2023,11,7,HH,0.93,0.75,,,,,0.18,,,
4/13/2023,10,7,HH,0.65,0.545,,,,,0.105,,,
4/13/2023,28,8,JUK,1.161,1.015,,,,,0.146,,,
4/13/2023,28,9,JUK,0.314,0.275,,,,,0.039,,,
4/13/2023,6,9,HH,0.547,0.377,,,,,0.17,,,
4/13/2023,28,8,JUK,1.075,0.851,,,,,0.224,,,
4/13/2023,28,9,JUK,0.29,0.229,,,,,0.061,,,
4/18/2023,35,6,JUK,2.52,2.5,,,,,0.02,,,
4/18/2023,28,8,JUK,1.885,1.373,,,,,0.512,,,
4/18/2023,28,9,JUK,0.51,0.372,,,,,0.138,,,
4/18/2023,1,,ALB,3.69,0.83,,,,,0.52,,2.34,
4/18/2023,34,5,JUK,0.96,0.96,,,,,,,,
4/18/2023,34,6,JUK,2.24,2.24,,,,,,,,
4/18/2023,33,4,JUK,1.593,1.593,,,,,,,,
4/18/2023,33,5,JUK,0.217,0.217,,,,,,,,
4/18/2023,29,7,JUK,1.728,1.533,,,,,0.195,,,
4/18/2023,29,8,JUK,0.487,0.432,,,,,0.055,,,
4/18/2023,30,2,JUK,1.8,1.135,,,,,0.665,,,
4/18/2023,32,4,JUK,1.15,1.12,,,,,0.03,,,
4/18/2023,31,3,JUK,0.58,0.56,,,,,0.02,,,
4/18/2023,2,,ALB,1.885,-4.615,,,,,6.5,,,
4/18/2023,27,4,MER,1.61,1.325,,,,,0.285,,,
4/18/2023,20,6,MER,0.92,0.826,,,,,0.094,,,
4/18/2023,20,1,MER,0.26,0.234,,,,,0.026,,,
4/18/2023,21,7,MER,0.98,0.515,,,,,0.465,,,
4/18/2023,26,4,MER,0.455,0.17,,,,,0.285,,,
4/18/2023,3,,ALB,5.755,1.88,,,,,1.7,,2.175,
4/18/2023,22,8,MER,1.085,0.745,,,,,0.3,,0.04,
4/18/2023,25,4,MER,0.65,0.385,,,,,0.265,,,
4/18/2023,23,2,MER,1.23,0.89,,,,,0.34,,,
4/18/2023,14,8,MER,2.165,1.865,,,,,0.3,,,
4/18/2023,24,3,MER,1.07,0.57,,,,,0.5,,,
4/18/2023,13,8,HH,0.755,0.595,,,,,0.16,,,
4/18/2023,19,9,MER,0.325,0.205,,,,,0.12,,,
4/18/2023,12,8,HH,1.83,1.53,,,,,0.3,,,
4/18/2023,5,9,HH,0.97,0.755,,,,,0.215,,,
4/18/2023,6,9,HH,1.655,1.51,,,,,0.145,,,
4/18/2023,11,7,HH,0.66,0.44,,,,,0.22,,,
4/18/2023,8,9,HH,0.89,0.68,,,,,0.21,,,
4/18/2023,10,7,HH,1.315,1.115,,,,,0.2,,,
